"taxa_taxon_list_id","taxon_meaning_id","taxon_id","external_key","taxon","string_agg"
432106,186800,376445,"eBMS126","Lasiommata",NULL
431981,186033,375679,"eBMS1","Animalia",NULL
431982,186676,376321,"eBMS2","Arthropoda",NULL
431983,186677,376322,"eBMS3","Insecta",NULL
431984,186678,376323,"eBMS4","Lepidoptera",NULL
431985,186679,376324,"eBMS5","Papilionidae",NULL
431986,186680,376325,"eBMS6","Hesperiidae",NULL
431987,186681,376326,"eBMS7","Pieridae",NULL
431988,186682,376327,"eBMS8","Riodinidae",NULL
431989,186683,376328,"eBMS9","Lycaenidae",NULL
431990,186684,376329,"eBMS10","Nymphalidae",NULL
431991,186685,376330,"eBMS11","Papilioninae",NULL
431992,186686,376331,"eBMS12","Parnassiinae",NULL
431993,186687,376332,"eBMS13","Heteropterinae",NULL
431994,186688,376333,"eBMS14","Hesperiinae",NULL
431995,186689,376334,"eBMS15","Pyrginae",NULL
431996,186690,376335,"eBMS16","Dismorphiinae",NULL
431997,186691,376336,"eBMS17","Coliadinae",NULL
431998,186692,376337,"eBMS18","Pierinae",NULL
431999,186693,376338,"eBMS19","Nemeobiinae",NULL
432000,186694,376339,"eBMS20","Lycaeninae",NULL
432001,186695,376340,"eBMS21","Aphnaeinae",NULL
432002,186696,376341,"eBMS22","Theclinae",NULL
432003,186697,376342,"eBMS23","Polyommatinae",NULL
432004,186698,376343,"eBMS24","Limenitidinae",NULL
432005,186699,376344,"eBMS25","Heliconiinae",NULL
432006,186700,376345,"eBMS26","Apaturinae",NULL
432007,186701,376346,"eBMS27","Nymphalinae",NULL
432008,186702,376347,"eBMS28","Libytheinae",NULL
432009,186703,376348,"eBMS29","Danainae",NULL
432010,186704,376349,"eBMS30","Charaxinae",NULL
432011,186705,376350,"eBMS31","Satyrinae",NULL
432012,186706,376351,"eBMS32","Iphiclides",NULL
432013,186707,376352,"eBMS33","Papilio",NULL
432014,186708,376353,"eBMS34","Parnassius",NULL
432015,186709,376354,"eBMS35","Archon",NULL
432016,186710,376355,"eBMS36","Zerynthia",NULL
432017,186711,376356,"eBMS37","Heteropterus",NULL
432018,186712,376357,"eBMS38","Carterocephalus",NULL
432019,186713,376358,"eBMS39","Pelopidas",NULL
432020,186714,376359,"eBMS40","Borbo",NULL
432021,186715,376360,"eBMS41","Gegenes",NULL
432022,186716,376361,"eBMS42","Ochlodes",NULL
432099,186793,376438,"eBMS119","Libythea",NULL
432100,186794,376439,"eBMS120","Danaus",NULL
432101,186795,376440,"eBMS121","Charaxes",NULL
432102,186796,376441,"eBMS122","Coenonympha",NULL
432103,186797,376442,"eBMS123","Kirinia",NULL
432104,186798,376443,"eBMS124","Lopinga",NULL
432105,186799,376444,"eBMS125","Pararge",NULL
432035,186729,376374,"eBMS55","Colotis",NULL
432036,186730,376375,"eBMS56","Aporia",NULL
432037,186731,376376,"eBMS57","Pontia",NULL
432038,186732,376377,"eBMS58","Pieris",NULL
432039,186733,376378,"eBMS59","Euchloe",NULL
432040,186734,376379,"eBMS60","Zegris",NULL
432041,186735,376380,"eBMS61","Anthocharis",NULL
432042,186736,376381,"eBMS62","Hamearis",NULL
432043,186737,376382,"eBMS63","Lycaena",NULL
432044,186738,376383,"eBMS64","Cigaritis",NULL
432045,186739,376384,"eBMS65","Thecla",NULL
432046,186740,376385,"eBMS66","Favonius",NULL
432047,186741,376386,"eBMS67","Laeosopis",NULL
432048,186742,376387,"eBMS68","Tomares",NULL
432049,186743,376388,"eBMS69","Callophrys",NULL
432050,186744,376389,"eBMS70","Neolycaena",NULL
432051,186745,376390,"eBMS71","Satyrium",NULL
432052,186746,376391,"eBMS72","Leptotes",NULL
432053,186747,376392,"eBMS73","Cyclyrius",NULL
432054,186748,376393,"eBMS74","Azanus",NULL
432055,186749,376394,"eBMS75","Lampides",NULL
432056,186750,376395,"eBMS76","Cacyreus",NULL
432057,186751,376396,"eBMS77","Celastrina",NULL
432058,186752,376397,"eBMS78","Tarucus",NULL
432059,186753,376398,"eBMS79","Phengaris",NULL
432060,186754,376399,"eBMS80","Turanana",NULL
432061,186755,376400,"eBMS81","Pseudophilotes",NULL
432062,186756,376401,"eBMS82","Scolitantides",NULL
432063,186757,376402,"eBMS83","Praephilotes",NULL
432064,186758,376403,"eBMS84","Iolana",NULL
432065,186759,376404,"eBMS85","Glaucopsyche",NULL
432066,186760,376405,"eBMS86","Zizeeria",NULL
432067,186761,376406,"eBMS87","Tongeia",NULL
432068,186762,376407,"eBMS88","Cupido",NULL
432069,186763,376408,"eBMS89","Luthrodes",NULL
432070,186764,376409,"eBMS90","Freyeria",NULL
432071,186765,376410,"eBMS91","Plebejus",NULL
432072,186766,376411,"eBMS92","Agriades",NULL
