id,sort_id,warehouse_id,external_key,taxon,descriptionKey,image,image_copyright,AD,AL,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,ES_CA,FI,FR,GB,GR,HR,HU,IE,IS,IT,LI,LT,LU,LU,LV,MD,ME,MK,MT,NL,NO,PL,PT_AZ,PT_MA,RO,RS,RU,SE,SI,SK,TR,UA
1,1,432127,eBMS147,Papilio hospiton,Papilio-hospiton-description,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2,2,432128,eBMS148,Parnassius mnemosyne,Parnassius-mnemosyne-description,36,Kars Veling,P,P,P,P,A,P,P,P,A,P,P,Ex,P,P,A,P,P,A,P,P,P,A,A,P,A,P,A,P,P,P,P,A,A,P,P,A,A,A,P,P,P,P,P,P,P,P
3,3,432129,eBMS149,Parnassius phoebus,Parnassius-phoebus-description,,,A,A,P,A,A,A,A,P,A,A,P,A,A,A,A,A,P,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
4,4,432130,eBMS150,Parnassius apollo,Parnassius-apollo-description,37,Albert Vliegenthart,P,P,P,P,A,P,A,P,A,P,P,I,A,P,A,P,P,A,P,P,A,A,A,P,P,A,A,A,A,P,P,A,I,P,P,A,A,A,Ex,P,P,P,P,P,A,Ex
5,5,432131,eBMS151,Archon apollinus,Archon-apollinus-description,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A
6,6,432132,eBMS152,Zerynthia cerisy,Zerynthia-cerisy-description,35,Albert Vliegenthart,A,P,A,P,A,P,A,A,P,A,A,A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,P,P,A,A,A,A,P,A
7,7,432165,eBMS185,Carcharodus stauderi,Carcharodus-stauderi-description,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
8,8,432166,eBMS186,Carcharodus baeticus,Carcharodus-baeticus-description,7,Albert Vliegenthart,A,A,A,A,A,A,A,Ex,A,A,A,A,A,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
9,9,432167,eBMS187,Erynnis tages,Erynnis-tages-description,1,Albert Vliegenthart,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P,P
10,10,432168,eBMS188,Erynnis marloyi,Erynnis-marloyi-description,2,Albert Vliegenthart,A,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A
11,11,432133,eBMS153,Zerynthia cretica,Zerynthia-cretica-description,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
